央视1,#genre#
延边卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226516/index.m3u8?IASHttpSessionId= 
甘肃卫视,http://39.134.64.87:6610/PLTV/88888888/224/3221226522/index.m3u8?IASHttpSessionId=
晴彩篮球,http://39.134.67.108/PLTV/88888888/224/3221225895/1.m3u8
晴彩竞技,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226124/index.m3u8
北京纪实,http://39.135.137.46:80/wh7f454c46tw2511419626_1407615354/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
ESPN HD,http://38.96.178.201:80/live/ESPNHD/index.m3u8
重温经典频道,#genre#
重溫經典頻高,http://php.jdshipin.com/PLTV/iptv.php?id=cwjd

央卫1,#genre#
CCTV-1综合,http://39.134.65.106/PLTV/88888888/224/3221225816/1.m3u8
CCTV-2财经,http://39.134.65.106/PLTV/88888888/224/3221225599/1.m3u8
CCTV-3综艺,http://39.134.65.106/PLTV/88888888/224/3221225799/1.m3u8
CCTV-4中文国际,http://39.134.65.106/PLTV/88888888/224/3221225797/1.m3u8
CCTV-5体育,http://39.134.65.106/PLTV/88888888/224/3221225818/1.m3u8
CCTV-5+体育赛事,http://39.134.65.106/PLTV/88888888/224/3221225507/1.m3u8
CCTV-6电影,http://39.134.65.106/PLTV/88888888/224/3221225814/1.m3u8
CCTV-7国防军事,http://39.134.65.106/PLTV/88888888/224/3221225671/1.m3u8
CCTV-8电视剧,http://39.134.65.106/PLTV/88888888/224/3221225795/1.m3u8
CCTV-9纪录,http://39.134.65.106/PLTV/88888888/224/3221225676/1.m3u8
CCTV-10科教,http://39.134.65.106/PLTV/88888888/224/3221225677/1.m3u8
CCTV-11戏曲,http://39.134.65.106/PLTV/88888888/224/3221225517/1.m3u8
CCTV-12社会与法,http://39.134.65.106/PLTV/88888888/224/3221225669/1.m3u8
CCTV-13新闻,http://39.134.65.106/PLTV/88888888/224/3221225812/1.m3u8
CCTV-14少儿,http://39.134.65.106/PLTV/88888888/224/3221225674/1.m3u8
CCTV-15音乐,http://39.134.65.106/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15音乐,http://39.134.65.106/PLTV/88888888/224/3221226127/1.m3u8
CCTV-16奥林匹克,http://39.134.65.106/PLTV/88888888/224/3221225893/1.m3u8
CCTV-17农业农村,http://39.134.65.106/PLTV/88888888/224/3221225708/1.m3u8
北京卫视,http://39.134.65.106/PLTV/88888888/224/3221225931/1.m3u8
东方卫视,http://39.134.65.106/PLTV/88888888/224/3221225942/1.m3u8
浙江卫视,http://39.134.65.106/PLTV/88888888/224/3221225959/1.m3u8
江苏卫视,http://39.134.65.106/PLTV/88888888/224/3221225938/1.m3u8
湖南卫视,http://39.134.65.106/PLTV/88888888/224/3221225506/1.m3u8
广东卫视,http://39.134.65.106/PLTV/88888888/224/3221225966/1.m3u8
深圳卫视,http://39.134.65.106/PLTV/88888888/224/3221225943/1.m3u8
黑龙江卫视,http://39.134.65.106/PLTV/88888888/224/3221225994/1.m3u8
安徽卫视,http://39.134.65.106/PLTV/88888888/224/3221225925/1.m3u8
江西卫视,http://39.134.65.106/PLTV/88888888/224/3221225935/1.m3u8
东南卫视,http://39.134.65.106/PLTV/88888888/224/3221225950/1.m3u8
山东卫视,http://39.134.65.106/PLTV/88888888/224/3221225952/1.m3u8
河北卫视,http://39.134.65.106/PLTV/88888888/224/3221225961/1.m3u8
重庆卫视,http://39.134.65.106/PLTV/88888888/224/3221225963/1.m3u8
四川卫视,http://39.134.65.106/PLTV/88888888/224/3221225970/1.m3u8
天津卫视,http://39.134.65.106/PLTV/88888888/224/3221225972/1.m3u8
贵州卫视,http://39.134.65.106/PLTV/88888888/224/3221225974/1.m3u8
湖北卫视,http://39.134.65.106/PLTV/88888888/224/3221225975/1.m3u8
山西卫视,http://39.134.65.106/PLTV/88888888/224/3221226009/1.m3u8
吉林卫视,http://39.134.65.106/PLTV/88888888/224/3221226013/1.m3u8
海南卫视,http://39.134.65.106/PLTV/88888888/224/3221226026/1.m3u8
辽宁卫视,http://39.134.65.106/PLTV/88888888/224/3221225944/1.m3u8
广西卫视,http://39.134.65.106/PLTV/88888888/224/3221226024/1.m3u8
河南卫视,http://39.134.65.106/PLTV/88888888/224/3221226023/1.m3u8
内蒙古卫视,http://39.134.65.106/PLTV/88888888/224/3221226017/1.m3u8
宁夏卫视,http://39.134.65.106/PLTV/88888888/224/3221226028/1.m3u8
西藏卫视,http://39.134.65.106/PLTV/88888888/224/3221225951/1.m3u8
新疆卫视,http://39.134.65.106/PLTV/88888888/224/3221225999/1.m3u8
青海卫视,http://39.134.65.106/PLTV/88888888/224/3221225948/1.m3u8
陕西卫视,http://39.134.65.106/PLTV/88888888/224/3221225989/1.m3u8
云南卫视,http://39.134.65.106/PLTV/88888888/224/3221225957/1.m3u8
延边卫视,http://39.134.65.106/PLTV/88888888/224/3221226040/1.m3u8
兵团卫视,http://39.134.65.106/PLTV/88888888/224/3221226005/1.m3u8
中国教育1台,http://39.134.67.106/PLTV/88888888/224/3221225563/1.m3u8
中国教育4台,http://39.134.67.106/PLTV/88888888/224/3221225750/1.m3u8
CGTN,http://39.134.67.106/PLTV/88888888/224/3221225510/1.m3u8
CGTN纪录,http://39.134.67.106/PLTV/88888888/224/3221225509/1.m3u8
央卫2,#genre#
CGTN English,http://foxtv.zone.id/ublive.php?id=2362
CGTN Documentary,http://foxtv.zone.id/ublive.php?id=2363
CGTN Français,http://foxtv.zone.id/ublive.php?id=2364
CCTV1,http://foxtv.zone.id/ublive.php?id=2305
CCTV1,http://foxtv.zone.id/ublive.php?id=200
CCTV2,http://foxtv.zone.id/ublive.php?id=201
CCTV2,http://foxtv.zone.id/ublive.php?id=2763
CCTV3,http://foxtv.zone.id/ublive.php?id=202
CCTV3,http://foxtv.zone.id/ublive.php?id=2808
CCTV4,http://foxtv.zone.id/ublive.php?id=248
CCTV4,http://foxtv.zone.id/ublive.php?id=203
CCTV4,http://foxtv.zone.id/ublive.php?id=2764
CCTV5,http://foxtv.zone.id/ublive.php?id=204
CCTV5plus,http://foxtv.zone.id/ublive.php?id=205
CCTV5,http://foxtv.zone.id/ublive.php?id=2760
CCTV5plus,http://foxtv.zone.id/ublive.php?id=2759
CCTV6,http://foxtv.zone.id/ublive.php?id=206
CCTV6,http://foxtv.zone.id/ublive.php?id=2758
CCTV7,http://foxtv.zone.id/ublive.php?id=207
CCTV7,http://foxtv.zone.id/ublive.php?id=2757
CCTV8,http://foxtv.zone.id/ublive.php?id=208
CCTV8,http://foxtv.zone.id/ublive.php?id=2756
CCTV9,http://foxtv.zone.id/ublive.php?id=2308
CCTV9,http://foxtv.zone.id/ublive.php?id=209
CCTV10,http://foxtv.zone.id/ublive.php?id=210
CCTV11,http://foxtv.zone.id/ublive.php?id=2809
CCTV11,http://foxtv.zone.id/ublive.php?id=211
CCTV12,http://foxtv.zone.id/ublive.php?id=212
CCTV12,http://foxtv.zone.id/ublive.php?id=2755
CCTV13,http://foxtv.zone.id/ublive.php?id=213
CCTV13,http://foxtv.zone.id/ublive.php?id=2754
CCTV14,http://foxtv.zone.id/ublive.php?id=214
CCTV14,http://foxtv.zone.id/ublive.php?id=2826
CCTV15,http://foxtv.zone.id/ublive.php?id=215
CCTV16,http://foxtv.zone.id/ublive.php?id=2821
CCTV17,http://foxtv.zone.id/ublive.php?id=3260
浙江卫视,http://foxtv.zone.id/ublive.php?id=217
江苏卫视,http://foxtv.zone.id/ublive.php?id=218
江苏卫视,http://foxtv.zone.id/ublive.php?id=2829
北京卫视,http://foxtv.zone.id/ublive.php?id=220
北京衛視,http://foxtv.zone.id/ublive.php?id=221
广东卫视,http://foxtv.zone.id/ublive.php?id=231
广东卫视,http://foxtv.zone.id/ublive.php?id=1499
东方卫视,http://foxtv.zone.id/ublive.php?id=224
河南卫视,http://foxtv.zone.id/ublive.php?id=225
湖南卫视,http://foxtv.zone.id/ublive.php?id=3228
湖南卫视,http://foxtv.zone.id/ublive.php?id=226
